county,total_votes,rep_votes,dem_votes,rep_percentage,dem_percentage,Party
"Barnwell County, South Carolina",10321,5492,4720,0.5321189807189226,0.45732002712915415,0
"Barre Town, Vermont",4766,2093,2512,0.4391523289970625,0.527066722618548,1
"Barre, Massachusetts",3157,1523,1535,0.48242001900538484,0.48622109597719354,1
"Barre, Vermont",3807,1298,2380,0.34095087995797213,0.625164171263462,1
"Barren County, Kentucky",20064,14654,5127,0.7303628389154705,0.2555322966507177,0
"Barrington, New Hampshire",6004,2733,3142,0.45519653564290474,0.5233177881412392,1
"Barrington, Rhode Island",10832,2889,7713,0.26670974889217136,0.7120568685376661,1
"Barron County, Wisconsin",25346,15803,9194,0.6234908861358794,0.36273968279018387,0
"Barrow County, Georgia",37921,26804,10453,0.7068378998444134,0.2756520133962712,0
"Barry County, Michigan",35905,23471,11797,0.6536972566494917,0.3285614816877872,0
"Barry County, Missouri",15598,12425,2948,0.7965764841646364,0.18899858956276447,0
"Bartholomew County, Indiana",36235,22410,12934,0.6184628121981509,0.35694770249758523,0
"Bartlett, New Hampshire",2170,773,1374,0.356221198156682,0.6331797235023041,1
"Barton County, Kansas",10961,8480,2302,0.7736520390475322,0.21001733418483715,0
"Barton County, Missouri",6077,5168,844,0.850419614941583,0.13888431792002634,0
"Barton, Vermont",1296,570,687,0.4398148148148148,0.5300925925925926,1
"Bartow County, Georgia",50464,37672,12091,0.7465123652504756,0.23959654407102093,0
"Bastrop County, Texas",36665,20516,15474,0.5595527069412246,0.4220373653347879,0
"Bates County, Missouri",8416,6597,1672,0.7838640684410646,0.19866920152091255,0
"Bath County, Kentucky",5627,3986,1573,0.7083703572063267,0.27954505064865826,0
"Bath County, Virginia",2501,1834,646,0.7333066773290684,0.258296681327469,0
"Bath, Maine",5142,1540,3421,0.2994943601711396,0.6653053286658888,1
"Bath, New Hampshire",623,353,259,0.5666131621187801,0.4157303370786517,0
"Baxter County, Arkansas",21007,15836,4635,0.7538439567763127,0.22064073880135193,0
"Bay County, Florida",93024,66097,25614,0.7105370657034744,0.2753482972136223,0
"Bay County, Michigan",60255,33125,26151,0.54974690897021,0.4340054767239233,0
"Bayfield County, Wisconsin",10880,4617,6147,0.42435661764705884,0.5649816176470588,1
"Baylor County, Texas",1702,1494,183,0.8777908343125734,0.10752056404230317,0
"Beacon Falls, Connecticut",3803,2191,1543,0.5761241125427294,0.4057323165921641,0
"Beadle County, South Dakota",7081,4808,2107,0.6790001412229911,0.29755684225391893,0
"Beals, Maine",293,191,98,0.6518771331058021,0.33447098976109213,0
"Bear Lake County, Idaho",3315,2914,350,0.8790346907993967,0.10558069381598793,0
"Beaufort County, North Carolina",26315,16437,9633,0.6246247387421623,0.36606498194945847,0
"Beaufort County, South Carolina",97835,53194,43419,0.5437113507435989,0.4437982317166658,0
"Beauregard Parish, Louisiana",16357,13575,2542,0.8299199119642966,0.1554074708076053,0
"Beaver County, Oklahoma",2178,1968,190,0.9035812672176309,0.08723599632690542,0
"Beaver County, Pennsylvania",94122,54759,38122,0.581787467329636,0.4050275174773167,0
"Beaver County, Utah",3100,2695,357,0.8693548387096774,0.11516129032258064,0
"Beaver Cove, Maine",119,60,59,0.5042016806722689,0.4957983193277311,0
"Beaverhead County, Montana",5661,3923,1608,0.6929871047518106,0.2840487546369899,0
"Becker County, Minnesota",19401,12438,6589,0.6411009741765888,0.3396216689861347,0
"Becket, Massachusetts",1195,413,757,0.34560669456066945,0.6334728033472803,1
"Beckham County, Oklahoma",7948,6767,1048,0.8514091595369905,0.1318570709612481,0
"Beddington, Maine",51,36,13,0.7058823529411765,0.2549019607843137,0
"Bedford County, Pennsylvania",27574,23025,4367,0.8350257488938856,0.15837383041996084,0
"Bedford County, Tennessee",19088,14354,4453,0.7519907795473596,0.23328792958927075,0
"Bedford County, Virginia",48669,35600,12176,0.7314717787503339,0.250179785900676,0
"Bedford, Massachusetts",8859,2180,6452,0.24607743537645332,0.7282989050682921,1
"Bedford, New Hampshire",14739,7052,7521,0.47845851143225454,0.5102788520252391,1
"Bee County, Texas",9420,6006,3288,0.6375796178343949,0.3490445859872611,0
"Belchertown, Massachusetts",9609,3481,5893,0.36226454365698824,0.6132792174003538,1
"Belfast, Maine",4237,1259,2847,0.2971442058059948,0.6719376917630399,1
"Belgrade, Maine",2216,1166,994,0.526173285198556,0.44855595667870035,0
"Bell County, Kentucky",10044,8140,1789,0.8104340900039825,0.1781162883313421,0
"Bell County, Texas",127375,67893,57014,0.5330166830225711,0.4476074582924436,0
"Bellingham, Massachusetts",9889,4402,5211,0.445141065830721,0.526949135402973,1
"Belmont County, Ohio",33088,23560,9138,0.7120406189555126,0.27617263056092844,0
"Belmont, Maine",598,319,259,0.5334448160535117,0.4331103678929766,0
"Belmont, Massachusetts",15356,2956,11999,0.1924980463662412,0.7813883823912477,1
"Belmont, New Hampshire",4052,2365,1609,0.5836623889437315,0.3970878578479763,0
"Beltrami County, Minnesota",24189,12188,11426,0.5038653933606184,0.4723634709992145,0
"Belvidere, Vermont",176,93,79,0.5284090909090909,0.44886363636363635,0
"Ben Hill County, Georgia",6564,4111,2393,0.6262949421084705,0.3645642900670323,0
